Assembly	final.contigs
# contigs (>= 0 bp)	50322
# contigs (>= 1000 bp)	362
# contigs (>= 5000 bp)	9
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	22801061
Total length (>= 1000 bp)	524348
Total length (>= 5000 bp)	62666
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	14553
Largest contig	8694
Total length	9104813
GC (%)	65.23
N50	597
N90	516
auN	707.5
L50	6177
L90	12761
# N's per 100 kbp	0.00
# predicted genes (unique)	15149
# predicted genes (>= 0 bp)	9884 + 5265 part
# predicted genes (>= 300 bp)	7315 + 4444 part
# predicted genes (>= 1500 bp)	10 + 2 part
# predicted genes (>= 3000 bp)	2 + 1 part
