Assembly	lr-marine_sediment.contigs
# contigs (>= 0 bp)	176
# contigs (>= 1000 bp)	176
# contigs (>= 5000 bp)	50
# contigs (>= 10000 bp)	4
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	742305
Total length (>= 1000 bp)	742305
Total length (>= 5000 bp)	368831
Total length (>= 10000 bp)	52312
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	176
Largest contig	16437
Total length	742305
GC (%)	34.67
N50	4980
N90	2274
auN	5644.0
L50	51
L90	136
# N's per 100 kbp	0.00
# predicted genes (unique)	215
# predicted genes (>= 0 bp)	215 + 0 part
# predicted genes (>= 300 bp)	124 + 0 part
# predicted genes (>= 1500 bp)	16 + 0 part
# predicted genes (>= 3000 bp)	3 + 0 part
